epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,5791.21,1.15996,2.08585,1.11209,1.2271,0,0.75175,0.53638,0.60374,0.40071,0.65587,0.41267,0.40629,0.07532,0.94325,1.43554,3.81384,0.96839,0,0.001384,0.001384,0.001384
30,5989.42,1.16683,2.08343,1.1067,1.22298,0,0.76493,0.51454,0.59738,0.393,0.67744,0.42846,0.43673,0.08816,0.97167,1.44138,2.67092,0.97594,0,0.001362,0.001362,0.001362
31,6184.98,1.13898,2.06655,1.09453,1.20845,0,0.75759,0.51377,0.5873,0.38609,0.65039,0.41737,0.40681,0.08112,0.96685,1.43653,3.08647,0.99194,0,0.00134,0.00134,0.00134
32,6384.71,1.13368,2.07088,1.06903,1.20572,0,0.78268,0.51989,0.60088,0.40135,0.65651,0.43458,0.42596,0.08498,0.93946,1.44655,3.13629,0.96167,0,0.001318,0.001318,0.001318
33,6585.54,1.13344,2.0505,1.05931,1.20648,0,0.76708,0.54552,0.61286,0.41112,0.6544,0.4407,0.42886,0.08697,0.94831,1.41987,2.11925,0.96623,0,0.001296,0.001296,0.001296
34,6786.33,1.13988,2.07373,1.06486,1.20942,0,0.76197,0.53366,0.61222,0.41079,0.66778,0.4189,0.41449,0.07623,0.94784,1.43326,2.66625,0.95745,0,0.001274,0.001274,0.001274
35,6982.62,1.12299,2.04721,1.05279,1.19747,0,0.79572,0.52716,0.61304,0.40865,0.68405,0.43956,0.43923,0.08754,0.95252,1.43775,2.73026,0.9658,0,0.001252,0.001252,0.001252
36,7186.13,1.11244,2.04292,1.01827,1.18764,0,0.73873,0.54552,0.61613,0.40798,0.6752,0.4166,0.42827,0.08138,0.94652,1.42948,2.334,0.95487,0,0.00123,0.00123,0.00123
37,7393.5,1.11178,2.04548,1.02435,1.18323,0,0.79425,0.55432,0.62401,0.42215,0.69214,0.45524,0.45105,0.08798,0.92468,1.40694,2.97518,0.94686,0,0.001208,0.001208,0.001208
38,7626.83,1.11247,2.0392,1.02421,1.18759,0,0.7897,0.55307,0.63339,0.42938,0.67819,0.46599,0.47522,0.0927,0.8925,1.41745,2.58888,0.91418,0,0.001186,0.001186,0.001186
39,7877.1,1.10417,2.0389,1.00942,1.18324,0,0.79934,0.54935,0.63295,0.42705,0.69937,0.45142,0.45153,0.09131,0.90246,1.40809,2.32517,0.92427,0,0.001164,0.001164,0.001164
40,8104.57,1.10326,2.03285,1.00735,1.18409,0,0.75883,0.55971,0.63008,0.43076,0.67704,0.43868,0.43733,0.08254,0.91583,1.41526,2.912,0.93003,0,0.001142,0.001142,0.001142
41,8330.68,1.09678,2.03404,0.99231,1.17758,0,0.81567,0.54848,0.64301,0.44194,0.68782,0.4495,0.45293,0.08825,0.90282,1.40282,1.81703,0.91671,0,0.00112,0.00112,0.00112
42,8558.11,1.09682,2.01532,0.99825,1.17818,0,0.78599,0.56618,0.64787,0.44871,0.68868,0.47475,0.48336,0.09923,0.90178,1.40571,1.84872,0.91863,0,0.001098,0.001098,0.001098
43,8765.19,1.07598,2.02626,0.98583,1.16747,0,0.79176,0.5482,0.63183,0.43529,0.71059,0.44617,0.45372,0.08724,0.87501,1.40549,2.20573,0.90814,0,0.001076,0.001076,0.001076
44,8963.51,1.07762,2.00349,0.9693,1.16129,0,0.77499,0.56658,0.63728,0.43914,0.66209,0.46248,0.44923,0.08726,0.90079,1.40194,2.41564,0.91621,0,0.001054,0.001054,0.001054
45,9161.17,1.06856,2.00897,0.97975,1.16686,0,0.77651,0.57689,0.65616,0.45406,0.68185,0.47635,0.47488,0.09264,0.89466,1.38633,2.37015,0.91488,0,0.001032,0.001032,0.001032
